MD,X,Y,Z,TVD,DX,DY,AZIM_TN,INCL,DLS,AZIM_GN
1710,589107.9719,2156013.248,-1661.629892,1698.329892,-70.77814117,168.4981242,345.5336298,6.45,0.121313936,345.25
1725,589107.5368,2156014.897,-1676.532574,1713.232574,-71.21321849,170.1470257,345.4721839,6.60999641,0.320297822,345.1885541
1740,589107.0893,2156016.586,-1691.430434,1728.130434,-71.66067613,171.8356801,345.4136298,6.77,0.320297822,345.13
1750,589106.7739,2156017.775,-1701.35439,1738.05439,-71.97607386,173.0247135,345.4407207,7.366665377,1.79002402,345.1570909
1760,589106.4326,2156019.064,-1711.264994,1747.964994,-72.31738155,174.3136908,345.4637725,7.963332141,1.79002402,345.1801426
1770,589106.0654,2156020.453,-1721.161171,1757.861171,-72.6845622,175.702472,345.4836298,8.56,1.79002402,345.2
1780,589105.6691,2156021.938,-1731.042121,1767.742121,-73.0809282,177.188215,345.2173571,9.136505107,1.733869952,344.9337273
1790,589105.2402,2156023.518,-1740.907093,1777.607093,-73.50979058,178.7680734,344.9824457,9.713181366,1.733869952,344.6988159
1800,589104.7789,2156025.192,-1750.755081,1787.455081,-73.97110572,180.4418867,344.7736298,10.29,1.733869952,344.49
1810,589104.2912,2156026.978,-1760.582064,1797.282064,-74.45879287,182.2276639,345.2281444,11.05277743,2.302202825,344.9445146
1820,589103.7833,2156028.893,-1770.383514,1807.083514,-74.96674311,184.1433085,345.6246341,11.81614668,2.302202825,345.3410043
1830,589103.2551,2156030.939,-1780.157673,1816.857673,-75.49486531,186.1884769,345.9736298,12.58,2.302202825,345.69
1840,589102.6945,2156033.101,-1789.904659,1826.604659,-76.05548572,188.3512961,345.5412666,13.24937124,2.028917579,345.2576368
1850,589102.0891,2156035.37,-1799.624856,1836.324856,-76.66094004,190.6199304,345.1498012,13.91940152,2.028917579,344.8661714
1860,589101.4389,2156037.744,-1809.31691,1846.01691,-77.31114392,192.9940638,344.7936298,14.59,2.028917579,344.51
1870,589100.7553,2156040.233,-1818.977761,1855.677761,-77.99465657,195.4831017,345.0564122,15.33639954,2.248425649,344.7727824
1880,589100.05,2156042.846,-1828.604152,1865.304152,-78.70001801,198.0963802,345.2953565,16.08307862,2.248425649,345.0117267
1890,589099.3229,2156045.584,-1838.194434,1874.894434,-79.42710753,200.8334521,345.5136298,16.83,2.248425649,345.23
1900,589098.5628,2156048.438,-1847.747854,1884.447854,-80.18721452,203.6878907,345.2367726,17.54299135,2.153001531,344.9531427
1910,589097.7584,2156051.403,-1857.263756,1893.963756,-80.99163,206.6532767,344.9808925,18.25633806,2.153001531,344.6972626
1920,589096.9098,2156054.479,-1866.740647,1903.440647,-81.84022779,209.7291447,344.7436298,18.97,2.153001531,344.46
1930,589096.0268,2156057.672,-1876.17551,1912.87551,-82.72321324,212.9221951,344.9048018,19.73653775,2.305186768,344.621172
1940,589095.1192,2156060.989,-1885.56519,1922.26519,-83.63077272,216.2390601,345.0543841,20.50320924,2.305186768,344.7707542
1950,589094.1873,2156064.429,-1894.908,1931.608,-84.562743,219.6791433,345.1936298,21.27,2.305186768,344.91
1960,589093.2177,2156067.962,-1904.212205,1940.912205,-85.53232655,223.2122641,344.6873856,21.72855241,1.483981282,344.4037558
1970,589092.1972,2156071.559,-1913.486733,1950.186733,-86.55278803,226.8084744,344.2011058,22.18858248,1.483981282,343.917476
1980,589091.126,2156075.218,-1922.730892,1959.430892,-87.62405138,230.4675061,343.7336298,22.65,1.483981282,343.45
1990,589090.011,2156078.947,-1931.941703,1968.641703,-88.7390017,234.1968461,343.5458629,23.17979143,1.604434355,343.2622331
2000,589088.8595,2156082.754,-1941.11611,1977.81611,-89.89051141,238.0039445,343.366036,23.70979611,1.604434355,343.0824062
2010,589087.6715,2156086.639,-1950.253314,1986.953314,-91.07848017,241.8884697,343.1936298,24.24,1.604434355,342.91
2020,589086.4376,2156090.6,-1959.351489,1996.051489,-92.31237753,245.8494587,342.773263,24.79889869,1.756468086,342.4896332
2030,589085.1484,2156094.636,-1968.408709,2005.108709,-93.60165464,249.8858958,342.3702964,25.35892309,1.756468086,342.0866666
2040,589083.8038,2156098.747,-1977.424026,2014.124026,-94.94617688,253.9973596,341.9836298,25.92,1.756468086,341.7
2055,589081.732,2156104.982,-1990.907949,2027.607949,-97.01797616,260.231562,341.8178932,26.04490628,0.288953584,341.5342634
2070,589079.6329,2156111.238,-2004.377503,2041.077503,-99.11706975,266.4876383,341.6536298,26.17,0.288953584,341.37
2085,589077.5191,2156117.502,-2017.840711,2054.540711,-101.230882,272.7524155,341.6236458,26.15499689,0.039993745,341.340016
2100,589075.4032,2156123.763,-2031.305649,2068.005649,-103.3468459,279.0127468,341.5936298,26.14,0.039993745,341.31
2115,589073.2925,2156130.016,-2044.774912,2081.474912,-105.4575465,285.2655519,341.6684694,26.07998062,0.13692541,341.3848395
2130,589071.1944,2156136.258,-2058.25108,2094.95108,-107.5555671,291.507745,341.7436298,26.02,0.13692541,341.46
2145,589069.1387,2156142.467,-2071.749052,2108.449052,-109.6112855,297.7167803,342.1884075,25.69930956,0.749602643,341.9047776
2160,589067.155,2156148.62,-2085.283354,2121.983354,-111.5950237,303.8699412,342.6436298,25.38,0.749602643,342.36
2167.5,589066.1966,2156151.637,-2092.081852,2128.781852,-112.5533715,306.8873943,342.6844636,24.57498116,3.220813711,342.4008338
2175,589065.2694,2156154.564,-2098.924172,2135.624172,-113.4805703,309.8142235,342.7278862,23.76997403,3.220813711,342.4442564
2182.5,589064.3736,2156157.4,-2105.808965,2142.508965,-114.376437,312.6498509,342.7741707,22.96497984,3.220813711,342.4905409
2190,589063.5092,2156160.144,-2112.73487,2149.43487,-115.2407946,315.3937163,342.8236298,22.16,3.220813711,342.54
2200,589062.3651,2156163.769,-2121.983527,2158.683527,-116.3848737,319.0192255,342.7169686,22.54326638,1.156219973,342.4333388
2210,589061.1957,2156167.452,-2131.206537,2167.906537,-117.5542877,322.7015036,342.6136908,22.92660083,1.156219973,342.330061
2220,589060.001,2156171.19,-2140.403481,2177.103481,-118.7489838,326.4403839,342.5136298,23.31,1.156219973,342.23
2230,589058.7798,2156175.007,-2149.56473,2186.26473,-119.9701985,330.2573709,342.5696683,23.95664783,1.941113596,342.2860385
2240,589057.5309,2156178.924,-2158.680152,2195.380152,-121.2190998,334.1737544,342.6229304,24.603315,1.941113596,342.3393006
2250,589056.2545,2156182.939,-2167.748584,2204.448584,-122.4955285,338.189035,342.6736298,25.25,1.941113596,342.39
2260,589054.9554,2156187.047,-2176.77215,2213.47215,-123.7946166,342.2970287,342.7950047,25.80990523,1.687029803,342.5113749
2270,589053.6385,2156191.242,-2185.753165,2222.453165,-125.1115202,346.4916257,342.9115712,26.36990726,1.687029803,342.6279414
2280,589052.3039,2156195.522,-2194.690765,2231.390765,-126.4461125,350.7724218,343.0236298,26.93,1.687029803,342.74
2290,589050.9716,2156199.897,-2203.583157,2240.283157,-127.7783887,355.146973,343.6610159,27.51393064,1.958003869,343.3773861
2300,589049.6617,2156204.373,-2212.428353,2249.128353,-129.0883149,359.622728,344.2738805,28.10065474,1.958003869,343.9902507
2310,589048.3743,2156208.949,-2221.225205,2257.925205,-130.3757209,364.1991061,344.8636298,28.69,1.958003869,344.58
2320,589047.1024,2156213.619,-2229.975081,2266.675081,-131.647625,368.8688993,345.2286989,29.22239166,1.682882639,344.9450691
2330,589045.8389,2156218.375,-2238.679553,2275.379553,-132.9110762,373.6249935,345.5818271,29.75574199,1.682882639,345.2981973
2340,589044.5841,2156223.217,-2247.337786,2284.037786,-134.1659532,378.4669328,345.9236298,30.29,1.682882639,345.64
2350,589043.327,2156228.14,-2255.950062,2292.650062,-135.4230427,383.3895505,345.992284,30.79996545,1.53347273,345.7086542
2360,589042.0569,2156233.138,-2264.516762,2301.216762,-136.6931448,388.3877257,346.058918,31.30996602,1.53347273,345.7752882
2370,589040.7738,2156238.211,-2273.037204,2309.737204,-137.9761583,393.4610608,346.1236298,31.82,1.53347273,345.84
2380,589039.47,2156243.345,-2281.517839,2318.217839,-139.2800084,398.5954073,345.9468713,32.17642833,1.105587218,345.6632415
2390,589038.1374,2156248.527,-2289.965334,2326.665334,-140.6126517,403.7767433,345.7735752,32.53309764,1.105587218,345.4899453
2400,589036.776,2156253.755,-2298.379341,2335.079341,-141.9740333,409.0048545,345.6036298,32.89,1.105587218,345.32
2415,589034.7438,2156261.626,-2310.983644,2347.683644,-144.0062456,416.8764073,346.0122958,32.76933236,0.504568126,345.728666
2430,589032.7743,2156269.487,-2323.604952,2360.304952,-145.9756605,424.7366837,346.4236298,32.65,0.504568126,346.14
2440,589031.4888,2156274.758,-2332.003855,2368.703855,-147.261227,430.008058,346.7307398,33.0926077,1.418858366,346.44711
2450,589030.2161,2156280.099,-2340.360545,2377.060545,-148.533864,435.3491573,347.0306485,33.53595075,1.418858366,346.7470187
2460,589028.9565,2156285.51,-2348.674453,2385.374453,-149.7934846,440.7596176,347.3236298,33.98,1.418858366,347.04
2470,589027.7099,2156290.997,-2356.939873,2393.639873,-151.040096,446.2467666,347.6422593,34.5292079,1.733244418,347.3586295
2480,589026.4763,2156296.568,-2365.15092,2401.850921,-152.2736783,451.8178036,347.9521261,35.0792205,1.733244418,347.6684963
2490,589025.2559,2156302.222,-2373.30676,2410.00676,-153.4941062,457.4721622,348.2536298,35.63,1.733244418,347.97
2500,589023.9954,2156307.943,-2381.410008,2418.110008,-154.754645,463.1928731,347.465647,36.11502649,2.008988744,347.1820172
2510,589022.6415,2156313.713,-2389.463099,2426.163099,-156.1085264,468.9628272,346.6958323,36.60509424,2.008988744,346.4122025
2520,589021.1944,2156319.531,-2397.464932,2434.164932,-157.5555654,474.7812361,345.9436298,37.1,2.008988744,345.66
2530,589019.678,2156325.384,-2405.428889,2442.128889,-159.0719734,480.6338891,345.5731654,37.32553059,0.953703371,345.2895356
2540,589018.1159,2156331.257,-2413.368918,2450.068918,-160.6340602,486.5069843,345.2065158,37.55220425,0.953703371,344.922886
2550,589016.5082,2156337.15,-2421.284774,2457.984774,-162.2417777,492.4003406,344.8436298,37.78,0.953703371,344.56
2560,589014.8747,2156343.082,-2429.166659,2465.86666,-163.8753333,498.3319573,344.9284643,38.18660736,1.229836627,344.6448345
2570,589013.2351,2156349.07,-2437.004669,2473.704669,-165.5149118,504.3197511,345.0117816,38.59327467,1.229836627,344.7281518
2580,589011.5896,2156355.113,-2444.7984,2481.4984,-167.1604292,510.3634157,345.0936298,39,1.229836627,344.81
2595,589009.137,2156364.245,-2456.440788,2493.140788,-169.6130549,519.4949545,345.4048248,39.17958931,0.531994087,345.121195
2610,589006.7245,2156373.425,-2468.053404,2504.753404,-172.025521,528.6749482,345.7136298,39.36,0.531994087,345.43
2620,589005.1454,2156379.546,-2475.800659,2512.500659,-173.6046221,534.7955767,345.9210984,39.07962514,0.928637065,345.6374686
2630,589003.5979,2156385.635,-2483.578741,2520.278741,-175.1520698,540.885136,346.1310809,38.79962237,0.928637065,345.8474511
2640,589002.0822,2156391.693,-2491.387425,2528.087425,-176.6678191,546.9434483,346.3436298,38.52,0.928637065,346.06
2650,589000.604,2156397.724,-2499.224596,2535.924596,-178.146031,552.974209,346.6799633,38.27568977,0.964337619,346.3963335
2660,588999.1691,2156403.731,-2507.088128,2543.788128,-179.5808656,558.9811047,347.0199443,38.03235005,0.964337619,346.7363145
2670,588997.7777,2156409.714,-2514.977773,2551.677774,-180.9722777,564.9639464,347.3636298,37.79,0.964337619,347.08
2685,588995.7379,2156418.687,-2526.821288,2563.521288,-183.0121114,573.9371754,347.5892851,37.91978582,0.379578891,347.3056553
2700,588993.7275,2156427.695,-2538.643887,2575.343887,-185.0225389,582.9445414,347.8136298,38.05,0.379578891,347.53
2715,588991.7214,2156436.706,-2550.464059,2587.164059,-187.0285682,591.9560762,347.6539879,37.94989167,0.280582636,347.3703581
2730,588989.6948,2156445.692,-2562.30033,2599.00033,-189.055214,600.9418417,347.4936298,37.85,0.280582636,347.21
2740,588988.3751,2156451.661,-2570.212781,2606.912781,-190.3749274,606.9107829,348.1413199,37.54638371,1.497135759,347.8576901
2750,588987.1319,2156457.604,-2578.157335,2614.857335,-191.6180682,612.8534882,348.7979493,37.246354,1.497135759,348.5143195
2760,588985.9655,2156463.52,-2586.13339,2622.83339,-192.7845423,618.7695065,349.4636298,36.95,1.497135759,349.18
2775,588984.3017,2156472.396,-2598.108263,2634.808263,-194.448292,627.6455735,349.8701247,37.10931128,0.58415088,349.5864949
2790,588982.6948,2156481.316,-2610.057863,2646.757863,-196.0551801,636.5660452,350.2736298,37.27,0.58415088,349.99
2800,588981.6381,2156487.316,-2617.986583,2654.686583,-197.1119372,642.5656665,350.3146167,37.81998635,1.651659502,350.0309869
