MD,X,Y,Z,TVD,DX,DY,AZIM_TN,INCL,DLS,AZIM_GN
3390,588828.9966,2156884.932,-3015.553665,3052.253665,-349.7533767,1040.182123,335.9836298,61.98,1.990991854,335.7
3405,588823.5719,2156897.003,-3022.608471,3059.308471,-355.1781106,1052.252574,336.1834994,61.909855,0.379640126,335.8998696
3420,588818.1928,2156909.084,-3029.679444,3066.379444,-360.5571693,1064.334007,336.3836298,61.84,0.379640126,336.1
3430,588814.6166,2156917.157,-3034.369013,3071.069013,-364.1334452,1072.406839,336.3970575,62.22666539,1.160541663,336.1134277
3440,588811.0294,2156925.259,-3038.998871,3075.698871,-367.7205624,1080.509252,336.4103901,62.61333207,1.160541663,336.1267603
3450,588807.4316,2156933.391,-3043.568807,3080.268807,-371.3183574,1088.640877,336.4236298,63,1.160541663,336.14
3459.333333,588804.0155,2156941,-3047.752463,3084.452464,-374.7344632,1096.249709,335.7890499,63.7372871,2.990087497,335.5054201
3468.666667,588800.4936,2156948.619,-3051.828214,3088.528214,-378.2564274,1103.868802,335.1624927,64.47732786,2.990087497,334.8788628
3478,588796.8667,2156956.246,-3055.794984,3092.494984,-381.8833218,1111.496147,334.5436298,65.22,2.990087497,334.26
3487.666667,588793.028,2156964.136,-3059.846468,3096.546468,-385.7220372,1119.38584,334.133609,65.22221695,1.155343769,333.8499792
3497.333333,588789.1328,2156971.998,-3063.897528,3100.597528,-389.6172002,1127.248036,333.7236066,65.22555036,1.155343769,333.4399768
3507,588785.1814,2156979.832,-3067.947991,3104.647991,-393.5686464,1135.082404,333.3136298,65.23,1.155343769,333.03
3516.666667,588781.2423,2156987.7,-3071.946492,3108.646492,-397.50768,1142.949514,334.058004,65.90314954,2.964420712,333.7743742
3526.333333,588777.385,2156995.659,-3075.841044,3112.541044,-401.3649901,1150.908694,334.7945755,66.57986559,2.964420712,334.5109457
3536,588773.6105,2157003.708,-3079.630564,3116.330564,-405.1395044,1158.957732,335.5236298,67.26,2.964420712,335.24
3545.333333,588770.0251,2157011.551,-3083.194309,3119.894309,-408.7249459,1166.800523,335.9067711,67.84579024,2.200186245,335.6231413
3554.666667,588766.4772,2157019.45,-3086.66961,3123.36961,-412.2728324,1174.699856,336.2867333,68.43246789,2.200186245,336.0031035
3564,588762.9673,2157027.405,-3090.055968,3126.755968,-415.7826574,1182.654603,336.6636298,69.02,2.200186245,336.38
3573.666667,588759.2962,2157035.66,-3093.487086,3130.187087,-419.4537927,1190.909531,335.9534346,69.40047282,2.37488058,335.6698048
3583.333333,588755.5138,2157043.889,-3096.857889,3133.557889,-423.2361746,1199.13903,335.246789,69.78383031,2.37488058,334.9631592
3593,588751.6209,2157052.092,-3100.167773,3136.867773,-427.1291283,1207.341634,334.5436298,70.17,2.37488058,334.26
3635,588734.4675,2157087.67,-3114.415455,3151.115455,-444.282551,1242.919983,334.5436298,70.17,0,334.26
